,low_rate,low_pop,med_rate,med_pop,high_rate,high_pop
2016,1.7,8607305.259,1.9,8624232.113,2.1,8641158.966999998
2017,1.7,8753629.448402999,1.9,8788092.523147,2.1,8822623.305306997
2018,1.7,8902441.14902585,1.9,8955066.281086791,2.1,9007898.394718444
2019,1.7,9053782.648559289,1.9,9125212.540427439,2.1,9197064.26100753
2020,1.7,9207696.953584796,1.9,9298591.57869556,2.1,9390202.610488689
2021,1.7,9364227.801795736,1.9,9475264.818690775,2.1,9587396.86530895
2022,1.7,9523419.674426263,1.9,9655294.850245899,2.1,9788732.199480437
2023,1.7,9685317.808891509,1.9,9838745.452400569,2.1,9994295.575669525
2024,1.7,9849968.211642664,1.9,10025681.615996178,2.1,10204175.782758584
2025,1.4,9987867.766605662,1.8,10206143.88508411,2.1,10418463.474196514
2026,1.4,10127697.915338142,1.8,10389854.475015623,2.1,10637251.207154639
2027,1.4,10269485.686152875,1.8,10576871.855565906,2.1,10860633.482504886
2028,1.4,10413258.485759016,1.8,10767255.548966091,2.1,11088706.785637487
2029,1.4,10559044.104559643,1.8,10961066.148847481,2.1,11321569.628135873
2030,1.4,10706870.722023478,1.8,11158365.339526735,2.1,11559322.590326725
2031,1.4,10856766.912131807,1.8,11359215.915638216,2.1,11802068.364723586
2032,1.4,11008761.648901653,1.8,11563681.802119704,2.1,12049911.80038278
2033,1.4,11162884.311986275,1.8,11771828.07455786,2.1,12302959.948190818
2034,1.4,11319164.692354083,1.8,11983720.979899902,2.1,12561322.107102824
2035,1.3,11466313.833354685,1.7,12187444.236558199,2.1,12825109.871351983
2036,1.3,11615375.913188295,1.7,12394630.788579687,2.1,13094437.178650374
2037,1.3,11766375.800059741,1.7,12605339.51198554,2.1,13369420.35940203
2038,1.3,11919338.685460517,1.7,12819630.283689294,2.1,13650178.186949473
2039,1.3,12074290.088371502,1.7,13037563.998512011,2.1,13936831.92887541
2040,1.3,12231255.859520331,1.7,13259202.586486714,2.1,14229505.399381794
2041,1.3,12390262.185694095,1.7,13484609.030456986,2.1,14528325.01276881
2042,1.3,12551335.594108116,1.7,13713847.383974753,2.1,14833419.838036954
2043,1.3,12714502.95683152,1.7,13946982.789502323,2.1,15144921.65463573
2044,1.3,12879791.495270329,1.7,14184081.49692386,2.1,15462965.009383079
2045,1.0,13008589.410223031,1.7,14425210.882371565,2.3,15818613.204598889
2046,1.0,13138675.304325262,1.7,14670439.467371881,2.3,16182441.308304662
2047,1.0,13270062.057368515,1.7,14919836.938317202,2.3,16554637.458395667
2048,1.0,13402762.6779422,1.7,15173474.166268593,2.3,16935394.119938765
2049,1.0,13536790.304721622,1.7,15431423.227095157,2.3,17324908.184697356
2050,1.0,13672158.207768839,1.7,15693757.421955774,2.3,17723381.072945394
2051,1.0,13808879.789846526,1.7,15960551.29812902,2.3,18131018.837623134
2052,1.0,13946968.587744992,1.7,16231880.670197211,2.3,18548032.270888466
2053,1.0,14086438.273622442,1.7,16507822.641590562,2.3,18974637.0131189
2054,1.0,14227302.656358667,1.7,16788455.6264976,2.3,19411053.664420635
2055,0.8,14341121.077609535,1.6,17057070.91652156,2.4,19876918.95236673
2056,0.8,14455850.046230411,1.6,17329984.051185906,2.4,20353965.00722353
2057,0.8,14571496.846600255,1.6,17607263.79600488,2.4,20842460.167396896
2058,0.8,14688068.821373057,1.6,17888980.01674096,2.4,21342679.211414423
2059,0.8,14805573.371944042,1.6,18175203.697008815,2.4,21854903.51248837
2060,0.8,14924017.958919594,1.6,18466006.956160955,2.4,22379421.19678809
2061,0.8,15043410.10259095,1.6,18761463.06745953,2.4,22916527.305511005
2062,0.8,15163757.383411678,1.6,19061646.476538885,2.4,23466523.96084327
2063,0.8,15285067.442478972,1.6,19366632.820163507,2.4,24029720.535903506
2064,0.8,15407347.982018804,1.6,19676498.945286125,2.4,24606433.82876519
2065,0.8,15530606.765874954,1.6,19991322.9284107,2.4,25196988.240655556
